#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767561,60331618,56,I5H67_gp056,PBI_MOONBEAM_56,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2767561,60331640,78,I5H67_gp078,PBI_MOONBEAM_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331641,79,I5H67_gp079,PBI_MOONBEAM_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331642,80,I5H67_gp080,PBI_MOONBEAM_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331643,81,I5H67_gp081,PBI_MOONBEAM_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331644,82,I5H67_gp082,PBI_MOONBEAM_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331645,83,I5H67_gp083,PBI_MOONBEAM_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331646,84,I5H67_gp084,PBI_MOONBEAM_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331647,85,I5H67_gp085,PBI_MOONBEAM_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331648,86,I5H67_gp086,PBI_MOONBEAM_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331649,87,I5H67_gp087,PBI_MOONBEAM_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331650,88,I5H67_gp088,PBI_MOONBEAM_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331651,89,I5H67_gp089,PBI_MOONBEAM_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331652,90,I5H67_gp090,PBI_MOONBEAM_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331653,91,I5H67_gp091,PBI_MOONBEAM_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331654,92,I5H67_gp092,PBI_MOONBEAM_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331655,93,I5H67_gp093,PBI_MOONBEAM_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331656,94,I5H67_gp094,PBI_MOONBEAM_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331657,95,I5H67_gp095,PBI_MOONBEAM_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331658,96,I5H67_gp096,PBI_MOONBEAM_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331659,97,I5H67_gp097,PBI_MOONBEAM_97,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2767561,60331660,98,I5H67_gp098,PBI_MOONBEAM_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331661,99,I5H67_gp099,PBI_MOONBEAM_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331662,100,I5H67_gp100,PBI_MOONBEAM_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331663,101,I5H67_gp101,PBI_MOONBEAM_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331664,102,I5H67_gp102,PBI_MOONBEAM_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331665,103,I5H67_gp103,PBI_MOONBEAM_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331666,104,I5H67_gp104,PBI_MOONBEAM_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2767561,60331667,105,I5H67_gp105,PBI_MOONBEAM_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331668,106,I5H67_gp106,PBI_MOONBEAM_106,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2767561,60331669,107,I5H67_gp107,PBI_MOONBEAM_107,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2767561,60331670,20,I5H67_gp020,PBI_MOONBEAM_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767561,60331671,21,I5H67_gp021,PBI_MOONBEAM_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767561,60331672,22,I5H67_gp022,PBI_MOONBEAM_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331673,23,I5H67_gp023,PBI_MOONBEAM_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331674,24,I5H67_gp024,PBI_MOONBEAM_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331675,25,I5H67_gp025,PBI_MOONBEAM_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331676,26,I5H67_gp026,PBI_MOONBEAM_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2767561,60331677,27,I5H67_gp027,PBI_MOONBEAM_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331678,28,I5H67_gp028,PBI_MOONBEAM_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331679,29,I5H67_gp029,PBI_MOONBEAM_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331680,30,I5H67_gp030,PBI_MOONBEAM_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331681,31,I5H67_gp031,PBI_MOONBEAM_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
2767561,60331682,32,I5H67_gp032,PBI_MOONBEAM_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2767561,60331683,33,I5H67_gp033,PBI_MOONBEAM_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2767561,60331684,34,I5H67_gp034,PBI_MOONBEAM_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767561,60331685,35,I5H67_gp035,PBI_MOONBEAM_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331686,36,I5H67_gp036,PBI_MOONBEAM_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210529,-
2767561,60331687,37,I5H67_gp037,PBI_MOONBEAM_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331688,38,I5H67_gp038,PBI_MOONBEAM_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331689,39,I5H67_gp039,PBI_MOONBEAM_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331690,40,I5H67_gp040,PBI_MOONBEAM_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331691,41,I5H67_gp041,PBI_MOONBEAM_41,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2767561,60331692,42,I5H67_gp042,PBI_MOONBEAM_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331693,43,I5H67_gp043,PBI_MOONBEAM_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2767561,60331694,44,I5H67_gp044,PBI_MOONBEAM_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331695,45,I5H67_gp045,PBI_MOONBEAM_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331696,47,I5H67_gp047,PBI_MOONBEAM_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331697,48,I5H67_gp048,PBI_MOONBEAM_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331698,49,I5H67_gp049,PBI_MOONBEAM_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331699,50,I5H67_gp050,PBI_MOONBEAM_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331700,51,I5H67_gp051,PBI_MOONBEAM_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331701,52,I5H67_gp052,PBI_MOONBEAM_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331702,53,I5H67_gp053,PBI_MOONBEAM_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767561,60331703,54,I5H67_gp054,PBI_MOONBEAM_54,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2767561,60331704,55,I5H67_gp055,PBI_MOONBEAM_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2767561,60331705,2,I5H67_gp002,PBI_MOONBEAM_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2767561,60331706,3,I5H67_gp003,PBI_MOONBEAM_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767561,60331707,4,I5H67_gp004,PBI_MOONBEAM_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2767561,60331708,5,I5H67_gp005,PBI_MOONBEAM_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2767561,60331709,6,I5H67_gp006,PBI_MOONBEAM_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2767561,60331710,7,I5H67_gp007,PBI_MOONBEAM_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2767561,60331711,8,I5H67_gp008,PBI_MOONBEAM_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2767561,60331712,9,I5H67_gp009,PBI_MOONBEAM_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2767561,60331713,10,I5H67_gp010,PBI_MOONBEAM_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2767561,60331714,11,I5H67_gp011,PBI_MOONBEAM_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2767561,60331715,13,I5H67_gp012,PBI_MOONBEAM_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2767561,60331716,14,I5H67_gp014,PBI_MOONBEAM_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2767561,60331717,12,I5H67_gp013,PBI_MOONBEAM_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2767561,60331718,15,I5H67_gp015,PBI_MOONBEAM_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2767561,60331719,16,I5H67_gp016,PBI_MOONBEAM_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767561,60331720,17,I5H67_gp017,PBI_MOONBEAM_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767561,60331721,18,I5H67_gp018,PBI_MOONBEAM_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767561,60331722,19,I5H67_gp019,PBI_MOONBEAM_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767561,60331723,46,I5H67_gp046,PBI_MOONBEAM_46,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2767561,60331724,1,I5H67_gp001,PBI_MOONBEAM_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2767561,60338909,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
