#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2740802,55412145,HOQ59_gp25,HOQ59_gp25,-,-,-,-,possible endonuclease,protein-coding,-,-,-,possible endonuclease,20210327,-
2740802,55412167,HOQ59_gp47,HOQ59_gp47,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210327,-
2740802,55412168,HOQ59_gp48,HOQ59_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740802,55412169,HOQ59_gp49,HOQ59_gp49,-,-,-,-,Ribonucleotide Reductase R2-like protein,protein-coding,-,-,-,Ribonucleotide Reductase R2-like protein,20201222,-
2740802,55412170,HOQ59_gp10,HOQ59_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412171,HOQ59_gp11,HOQ59_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412172,HOQ59_gp12,HOQ59_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412173,HOQ59_gp13,HOQ59_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412174,HOQ59_gp14,HOQ59_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412175,HOQ59_gp15,HOQ59_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412176,HOQ59_gp16,HOQ59_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412177,HOQ59_gp17,HOQ59_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412178,HOQ59_gp18,HOQ59_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412179,HOQ59_gp19,HOQ59_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740802,55412180,HOQ59_gp20,HOQ59_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412181,HOQ59_gp21,HOQ59_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412182,HOQ59_gp22,HOQ59_gp22,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
2740802,55412183,HOQ59_gp23,HOQ59_gp23,-,-,-,-,protein of unknown function DUF1027,protein-coding,-,-,-,protein of unknown function DUF1027,20201222,-
2740802,55412184,HOQ59_gp24,HOQ59_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740802,55412185,HOQ59_gp02,HOQ59_gp02,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2740802,55412186,HOQ59_gp03,HOQ59_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740802,55412187,HOQ59_gp04,HOQ59_gp04,-,-,-,-,DNA polymerase I (TIGR00593),protein-coding,-,-,-,DNA polymerase I (TIGR00593),20210327,-
2740802,55412188,HOQ59_gp05,HOQ59_gp05,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201222,-
2740802,55412189,HOQ59_gp06,HOQ59_gp06,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210327,-
2740802,55412190,HOQ59_gp07,HOQ59_gp07,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210327,-
2740802,55412191,HOQ59_gp08,HOQ59_gp08,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201222,-
2740802,55412192,HOQ59_gp09,HOQ59_gp09,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210327,-
2740802,55412193,HOQ59_gp01,HOQ59_gp01,-,-,-,-,gp32,protein-coding,-,-,-,gp32,20210327,-
2740802,55436094,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200610,-
