#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887652,29063810,2,BIZ67_gp002,SEA_REMUS_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20200719,-
1887652,29063830,23,BIZ67_gp087,SEA_REMUS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887652,29063831,24,BIZ67_gp086,SEA_REMUS_24,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200719,-
1887652,29063832,25,BIZ67_gp085,SEA_REMUS_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200719,-
1887652,29063833,27,BIZ67_gp083,SEA_REMUS_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1887652,29063834,28,BIZ67_gp082,SEA_REMUS_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200719,-
1887652,29063835,29,BIZ67_gp081,SEA_REMUS_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1887652,29063836,30,BIZ67_gp080,SEA_REMUS_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1887652,29063837,32,BIZ67_gp078,SEA_REMUS_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200912,-
1887652,29063838,33,BIZ67_gp077,SEA_REMUS_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1887652,29063839,34,BIZ67_gp076,SEA_REMUS_34,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20200719,-
1887652,29063840,36,BIZ67_gp074,SEA_REMUS_36,-,-,-,ParA-like dsDNA partitioning protein,protein-coding,-,-,-,ParA-like dsDNA partitioning protein,20200719,-
1887652,29063841,37,BIZ67_gp073,SEA_REMUS_37,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200719,-
1887652,29063842,38,BIZ67_gp072,SEA_REMUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063843,39,BIZ67_gp071,SEA_REMUS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063844,40,BIZ67_gp070,SEA_REMUS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063845,41,BIZ67_gp069,SEA_REMUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063846,42,BIZ67_gp068,SEA_REMUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063847,43,BIZ67_gp067,SEA_REMUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063848,44,BIZ67_gp066,SEA_REMUS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063849,45,BIZ67_gp065,SEA_REMUS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063850,46,BIZ67_gp064,SEA_REMUS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063851,47,BIZ67_gp063,SEA_REMUS_47,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200719,-
1887652,29063852,48,BIZ67_gp062,SEA_REMUS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063853,49,BIZ67_gp061,SEA_REMUS_49,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
1887652,29063854,50,BIZ67_gp060,SEA_REMUS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063855,51,BIZ67_gp059,SEA_REMUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063856,52,BIZ67_gp058,SEA_REMUS_52,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200719,-
1887652,29063857,53,BIZ67_gp057,SEA_REMUS_53,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20200719,-
1887652,29063858,54,BIZ67_gp056,SEA_REMUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063859,55,BIZ67_gp055,SEA_REMUS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063860,56,BIZ67_gp054,SEA_REMUS_56,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200719,-
1887652,29063861,57,BIZ67_gp053,SEA_REMUS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063862,58,BIZ67_gp052,SEA_REMUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063863,59,BIZ67_gp051,SEA_REMUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063864,60,BIZ67_gp050,SEA_REMUS_60,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200719,-
1887652,29063865,61,BIZ67_gp049,SEA_REMUS_61,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200719,-
1887652,29063866,62,BIZ67_gp048,SEA_REMUS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063867,63,BIZ67_gp047,SEA_REMUS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063868,64,BIZ67_gp046,SEA_REMUS_64,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20200719,-
1887652,29063869,65,BIZ67_gp045,SEA_REMUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063870,66,BIZ67_gp044,SEA_REMUS_66,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200719,-
1887652,29063871,69,BIZ67_gp041,SEA_REMUS_69,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200912,-
1887652,29063872,70,BIZ67_gp040,SEA_REMUS_70,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
1887652,29063873,71,BIZ67_gp039,SEA_REMUS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063874,72,BIZ67_gp038,SEA_REMUS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063875,74,BIZ67_gp036,SEA_REMUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063876,75,BIZ67_gp035,SEA_REMUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063877,76,BIZ67_gp034,SEA_REMUS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063878,77,BIZ67_gp033,SEA_REMUS_77,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200719,-
1887652,29063879,78,BIZ67_gp032,SEA_REMUS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063880,80,BIZ67_gp030,SEA_REMUS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887652,29063881,82,BIZ67_gp028,SEA_REMUS_82,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200719,-
1887652,29063882,83,BIZ67_gp027,SEA_REMUS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887652,29063883,84,BIZ67_gp026,SEA_REMUS_84,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200719,-
1887652,29063884,85,BIZ67_gp025,SEA_REMUS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063885,87,BIZ67_gp023,SEA_REMUS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063886,88,BIZ67_gp022,SEA_REMUS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887652,29063887,89,BIZ67_gp021,SEA_REMUS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063888,90,BIZ67_gp020,SEA_REMUS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063889,91,BIZ67_gp019,SEA_REMUS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063890,92,BIZ67_gp018,SEA_REMUS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063891,93,BIZ67_gp017,SEA_REMUS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063892,95,BIZ67_gp015,SEA_REMUS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063893,96,BIZ67_gp014,SEA_REMUS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063894,97,BIZ67_gp013,SEA_REMUS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063895,98,BIZ67_gp012,SEA_REMUS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063896,99,BIZ67_gp011,SEA_REMUS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063897,100,BIZ67_gp010,SEA_REMUS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063898,101,BIZ67_gp009,SEA_REMUS_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063899,10,BIZ67_gt002,SEA_REMUS_10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887652,29063900,73,BIZ67_gp037,SEA_REMUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063901,79,BIZ67_gp031,SEA_REMUS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063902,67,BIZ67_gp043,SEA_REMUS_67,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200912,-
1887652,29063903,31,BIZ67_gp079,SEA_REMUS_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1887652,29063904,81,BIZ67_gp029,SEA_REMUS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063905,86,BIZ67_gp024,SEA_REMUS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063906,26,BIZ67_gp084,SEA_REMUS_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1887652,29063907,35,BIZ67_gp075,SEA_REMUS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063908,94,BIZ67_gp016,SEA_REMUS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063909,68,BIZ67_gp042,SEA_REMUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887652,29063910,1,BIZ67_gp001,SEA_REMUS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887652,29140090,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
