#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696451,56133209,H1N79_gp02,H1N79_gp02,tonn_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210313,-
2696451,56133241,H1N79_gp34,H1N79_gp34,tonn_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133242,H1N79_gp35,H1N79_gp35,tonn_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133243,H1N79_gp36,H1N79_gp36,tonn_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133244,H1N79_gp37,H1N79_gp37,tonn_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133245,H1N79_gp38,H1N79_gp38,tonn_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133246,H1N79_gp39,H1N79_gp39,tonn_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133247,H1N79_gp40,H1N79_gp40,tonn_40,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20200724,-
2696451,56133248,H1N79_gp41,H1N79_gp41,tonn_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133249,H1N79_gp42,H1N79_gp42,tonn_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133250,H1N79_gp43,H1N79_gp43,tonn_43,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210123,-
2696451,56133251,H1N79_gp44,H1N79_gp44,tonn_44,-,-,-,YdbL,protein-coding,-,-,-,YdbL,20200724,-
2696451,56133252,H1N79_gp45,H1N79_gp45,tonn_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133253,H1N79_gp46,H1N79_gp46,tonn_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133254,H1N79_gp47,H1N79_gp47,tonn_47,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200905,-
2696451,56133255,H1N79_gp48,H1N79_gp48,tonn_48,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200724,-
2696451,56133256,H1N79_gp49,H1N79_gp49,tonn_49,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200724,-
2696451,56133257,H1N79_gp50,H1N79_gp50,tonn_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133258,H1N79_gp51,H1N79_gp51,tonn_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133259,H1N79_gp52,H1N79_gp52,tonn_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133260,H1N79_gp53,H1N79_gp53,tonn_53,-,-,-,putative DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,putative DNA N-6-adenine-methyltransferase,20210313,-
2696451,56133261,H1N79_gp54,H1N79_gp54,tonn_54,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210313,-
2696451,56133262,H1N79_gp55,H1N79_gp55,tonn_55,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210313,-
2696451,56133263,H1N79_gp56,H1N79_gp56,tonn_56,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210403,-
2696451,56133264,H1N79_gp57,H1N79_gp57,tonn_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210313,-
2696451,56133265,H1N79_gp58,H1N79_gp58,tonn_58,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210313,-
2696451,56133266,H1N79_gp59,H1N79_gp59,tonn_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133267,H1N79_gp60,H1N79_gp60,tonn_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696451,56133268,H1N79_gp61,H1N79_gp61,tonn_61,-,-,-,putative ssDNA-binding protein,protein-coding,-,-,-,putative ssDNA-binding protein,20210313,-
2696451,56133269,H1N79_gp62,H1N79_gp62,tonn_62,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210123,-
2696451,56133270,H1N79_gp63,H1N79_gp63,tonn_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133271,H1N79_gp64,H1N79_gp64,tonn_64,-,-,-,exodeoxyribonuclease VIII,protein-coding,-,-,-,exodeoxyribonuclease VIII,20210313,-
2696451,56133272,H1N79_gp65,H1N79_gp65,tonn_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2696451,56133273,H1N79_gp66,H1N79_gp66,tonn_66,-,-,-,putative outer membrane protein,protein-coding,-,-,-,putative outer membrane protein,20200724,-
2696451,56133274,H1N79_gp67,H1N79_gp67,tonn_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133275,H1N79_gp68,H1N79_gp68,tonn_68,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210313,-
2696451,56133276,H1N79_gp69,H1N79_gp69,tonn_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133277,H1N79_gp70,H1N79_gp70,tonn_70,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210403,-
2696451,56133278,H1N79_gp71,H1N79_gp71,tonn_71,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2696451,56133279,H1N79_gp72,H1N79_gp72,tonn_72,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20200829,-
2696451,56133280,H1N79_gp73,H1N79_gp73,tonn_73,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2696451,56133281,H1N79_gp74,H1N79_gp74,tonn_74,-,-,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20210313,-
2696451,56133282,H1N79_gp75,H1N79_gp75,tonn_75,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200919,-
2696451,56133283,H1N79_gp76,H1N79_gp76,tonn_76,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210313,-
2696451,56133284,H1N79_gp77,H1N79_gp77,tonn_77,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210313,-
2696451,56133285,H1N79_gp78,H1N79_gp78,tonn_78,-,-,-,putative endonuclease protein,protein-coding,-,-,-,putative endonuclease protein,20210313,-
2696451,56133286,H1N79_gp79,H1N79_gp79,tonn_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133287,H1N79_gp80,H1N79_gp80,tonn_80,-,-,-,ribonucleoside-triphosphate reductase,protein-coding,-,-,-,ribonucleoside-triphosphate reductase,20200724,-
2696451,56133288,H1N79_gp81,H1N79_gp81,tonn_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696451,56133289,H1N79_gp82,H1N79_gp82,tonn_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133290,H1N79_gp83,H1N79_gp83,tonn_83,-,-,-,MCP protein,protein-coding,-,-,-,MCP protein,20210313,-
2696451,56133291,H1N79_gp84,H1N79_gp84,tonn_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696451,56133292,H1N79_gp85,H1N79_gp85,tonn_85,-,-,-,putative zonula occludens toxin,protein-coding,-,-,-,putative zonula occludens toxin,20200724,-
2696451,56133293,H1N79_gp86,H1N79_gp86,tonn_86,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20200724,-
2696451,56133294,H1N79_gp01,H1N79_gp01,tonn_1,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210123,-
2696451,56166703,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
