#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315531,55005236,2,HOU38_gp002,SEA_GETALONG_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2315531,55005288,54,HOU38_gp054,SEA_GETALONG_54,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2315531,55005289,55,HOU38_gp055,SEA_GETALONG_55,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
2315531,55005290,56,HOU38_gp056,SEA_GETALONG_56,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2315531,55005291,57,HOU38_gp057,SEA_GETALONG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005292,58,HOU38_gp058,SEA_GETALONG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005293,59,HOU38_gp059,SEA_GETALONG_59,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210403,-
2315531,55005294,60,HOU38_gp060,SEA_GETALONG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005295,61,HOU38_gp061,SEA_GETALONG_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005296,62,HOU38_gp062,SEA_GETALONG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005297,63,HOU38_gp063,SEA_GETALONG_63,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2315531,55005298,64,HOU38_gp064,SEA_GETALONG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005299,65,HOU38_gp065,SEA_GETALONG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005300,66,HOU38_gp066,SEA_GETALONG_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005301,67,HOU38_gp067,SEA_GETALONG_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210403,-
2315531,55005302,68,HOU38_gp068,SEA_GETALONG_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005303,69,HOU38_gp069,SEA_GETALONG_69,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2315531,55005304,70,HOU38_gp070,SEA_GETALONG_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005305,71,HOU38_gp071,SEA_GETALONG_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005306,72,HOU38_gp072,SEA_GETALONG_72,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2315531,55005307,73,HOU38_gp073,SEA_GETALONG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005308,74,HOU38_gp074,SEA_GETALONG_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005309,75,HOU38_gp075,SEA_GETALONG_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315531,55005310,76,HOU38_gp076,SEA_GETALONG_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005311,77,HOU38_gp077,SEA_GETALONG_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005312,78,HOU38_gp078,SEA_GETALONG_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005313,79,HOU38_gp079,SEA_GETALONG_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005314,80,HOU38_gp080,SEA_GETALONG_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005315,81,HOU38_gp081,SEA_GETALONG_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005316,82,HOU38_gp082,SEA_GETALONG_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005317,83,HOU38_gp083,SEA_GETALONG_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005318,84,HOU38_gp084,SEA_GETALONG_84,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2315531,55005319,85,HOU38_gp085,SEA_GETALONG_85,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210403,-
2315531,55005320,86,HOU38_gp086,SEA_GETALONG_86,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
2315531,55005321,87,HOU38_gp087,SEA_GETALONG_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315531,55005322,88,HOU38_gp088,SEA_GETALONG_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005323,89,HOU38_gp089,SEA_GETALONG_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005324,90,HOU38_gp090,SEA_GETALONG_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005325,91,HOU38_gp091,SEA_GETALONG_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005326,92,HOU38_gp092,SEA_GETALONG_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005327,93,HOU38_gp093,SEA_GETALONG_93,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2315531,55005328,94,HOU38_gp094,SEA_GETALONG_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005329,95,HOU38_gp095,SEA_GETALONG_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005330,96,HOU38_gp096,SEA_GETALONG_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005331,97,HOU38_gp097,SEA_GETALONG_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005332,98,HOU38_gp098,SEA_GETALONG_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005333,99,HOU38_gp099,SEA_GETALONG_99,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20201221,-
2315531,55005334,100,HOU38_gp100,SEA_GETALONG_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005335,101,HOU38_gp101,SEA_GETALONG_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005336,102,HOU38_gp102,SEA_GETALONG_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005337,103,HOU38_gp103,SEA_GETALONG_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005338,104,HOU38_gp104,SEA_GETALONG_104,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2315531,55005339,1,HOU38_gp001,SEA_GETALONG_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2315531,55154150,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
