#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235689,14296885,G169_gp02,G169_gp02,AF_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1235689,14296912,G169_gp30,G169_gp30,AF_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296913,G169_gp31,G169_gp31,AF_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296914,G169_gp32,G169_gp32,AF_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296915,G169_gp33,G169_gp33,AF_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296916,G169_gp34,G169_gp34,AF_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296917,G169_gp35,G169_gp35,AF_035,-,-,-,putative DNA segregation ATPase FtsK/SpoIIIE,protein-coding,-,-,-,putative DNA segregation ATPase FtsK/SpoIIIE,20201221,-
1235689,14296918,G169_gp36,G169_gp36,AF_036,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1235689,14296919,G169_gp38,G169_gp38,AF_037,-,-,-,putative recombination protein NinB,protein-coding,-,-,-,putative recombination protein NinB,20201221,-
1235689,14296920,G169_gp37,G169_gp37,AF_038,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1235689,14296921,G169_gp40,G169_gp40,AF_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296922,G169_gp41,G169_gp41,AF_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296923,G169_gp42,G169_gp42,AF_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296924,G169_gp43,G169_gp43,AF_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296925,G169_gp44,G169_gp44,AF_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296926,G169_gp45,G169_gp45,AF_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296927,G169_gp46,G169_gp46,AF_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296928,G169_gp47,G169_gp47,AF_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296929,G169_gp48,G169_gp48,AF_048,-,-,-,putative tellurite resistance protein,protein-coding,-,-,-,putative tellurite resistance protein,20201221,-
1235689,14296930,G169_gp49,G169_gp49,AF_049,-,-,-,putative repressor-like protein,protein-coding,-,-,-,putative repressor-like protein,20201221,-
1235689,14296931,G169_gp50,G169_gp50,AF_050,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1235689,14296932,G169_gp51,G169_gp51,AF_051,-,-,-,putative replication initiation protein,protein-coding,-,-,-,putative replication initiation protein,20201221,-
1235689,14296933,G169_gp52,G169_gp52,AF_052,-,-,-,putative DNA primase\helicase,protein-coding,-,-,-,putative DNA primase\helicase,20201221,-
1235689,14296934,G169_gp53,G169_gp53,AF_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296935,G169_gp54,G169_gp54,AF_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296936,G169_gp55,G169_gp55,AF_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296937,G169_gp56,G169_gp56,AF_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296938,G169_gp57,G169_gp57,AF_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296939,G169_gp58,G169_gp58,AF_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296940,G169_gp59,G169_gp59,AF_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296941,G169_gp60,G169_gp60,AF_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296942,G169_gp61,G169_gp61,AF_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296943,G169_gp62,G169_gp62,AF_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296944,G169_gp63,G169_gp63,AF_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296945,G169_gp64,G169_gp64,AF_064,-,-,-,putative enoddeoxyribonuclease,protein-coding,-,-,-,putative enoddeoxyribonuclease,20201221,-
1235689,14296946,G169_gp65,G169_gp65,AF_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296947,G169_gp25,G169_gp25,AF_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296948,G169_gp39,G169_gp39,AF_039,-,-,-,putative ERF family protein,protein-coding,-,-,-,putative ERF family protein,20201221,-
1235689,14296949,G169_gp01,G169_gp01,AF_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1235689,14311152,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (bacteriophage AF).,other,-,-,-,-,20200513,-
