#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315539,63925900,2,KDW72_gp02,SEA_GRIZZLY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210422,-
2315539,63925923,25,KDW72_gp25,SEA_GRIZZLY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925924,26,KDW72_gp26,SEA_GRIZZLY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925925,27,KDW72_gp27,SEA_GRIZZLY_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210605,-
2315539,63925926,28,KDW72_gp28,SEA_GRIZZLY_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210422,-
2315539,63925927,29,KDW72_gp29,SEA_GRIZZLY_29,-,-,-,holin,protein-coding,-,-,-,holin,20210422,-
2315539,63925928,30,KDW72_gp30,SEA_GRIZZLY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925929,31,KDW72_gp31,SEA_GRIZZLY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925930,32,KDW72_gp32,SEA_GRIZZLY_32,-,-,-,integrase,protein-coding,-,-,-,integrase,20210422,-
2315539,63925931,33,KDW72_gp33,SEA_GRIZZLY_33,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210422,-
2315539,63925932,34,KDW72_gp34,SEA_GRIZZLY_34,-,-,-,excise,protein-coding,-,-,-,excise,20210515,-
2315539,63925933,35,KDW72_gp35,SEA_GRIZZLY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925934,36,KDW72_gp36,SEA_GRIZZLY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925935,37,KDW72_gp37,SEA_GRIZZLY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925936,38,KDW72_gp38,SEA_GRIZZLY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2315539,63925937,39,KDW72_gp39,SEA_GRIZZLY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925938,40,KDW72_gp40,SEA_GRIZZLY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925939,41,KDW72_gp41,SEA_GRIZZLY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925940,42,KDW72_gp42,SEA_GRIZZLY_42,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210515,-
2315539,63925941,43,KDW72_gp43,SEA_GRIZZLY_43,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210422,-
2315539,63925942,44,KDW72_gp44,SEA_GRIZZLY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925943,45,KDW72_gp45,SEA_GRIZZLY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925944,46,KDW72_gp46,SEA_GRIZZLY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925945,47,KDW72_gp47,SEA_GRIZZLY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925946,49,KDW72_gp49,SEA_GRIZZLY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925947,50,KDW72_gp50,SEA_GRIZZLY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925948,51,KDW72_gp51,SEA_GRIZZLY_51,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210422,-
2315539,63925949,52,KDW72_gp52,SEA_GRIZZLY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925950,53,KDW72_gp53,SEA_GRIZZLY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925951,54,KDW72_gp54,SEA_GRIZZLY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925952,55,KDW72_gp55,SEA_GRIZZLY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925953,56,KDW72_gp56,SEA_GRIZZLY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925954,57,KDW72_gp57,SEA_GRIZZLY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925955,58,KDW72_gp58,SEA_GRIZZLY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925956,59,KDW72_gp59,SEA_GRIZZLY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2315539,63925957,60,KDW72_gp60,SEA_GRIZZLY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925958,61,KDW72_gp61,SEA_GRIZZLY_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210605,-
2315539,63925959,62,KDW72_gp62,SEA_GRIZZLY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925960,48,KDW72_gp48,SEA_GRIZZLY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,63925961,1,KDW72_gp01,SEA_GRIZZLY_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315539,64409733,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
