#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591129,60330809,2,I5H59_gp02,SEA_MAHAVRAT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2591129,60330862,55,I5H59_gp55,SEA_MAHAVRAT_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2591129,60330863,56,I5H59_gp56,SEA_MAHAVRAT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2591129,60330864,57,I5H59_gp57,SEA_MAHAVRAT_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2591129,60330865,58,I5H59_gp58,SEA_MAHAVRAT_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2591129,60330866,59,I5H59_gp59,SEA_MAHAVRAT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330867,60,I5H59_gp60,SEA_MAHAVRAT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330868,61,I5H59_gp61,SEA_MAHAVRAT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2591129,60330869,62,I5H59_gp62,SEA_MAHAVRAT_62,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2591129,60330870,63,I5H59_gp63,SEA_MAHAVRAT_63,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2591129,60330871,64,I5H59_gp64,SEA_MAHAVRAT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330872,65,I5H59_gp65,SEA_MAHAVRAT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330873,66,I5H59_gp66,SEA_MAHAVRAT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330874,67,I5H59_gp67,SEA_MAHAVRAT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330875,68,I5H59_gp68,SEA_MAHAVRAT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330876,69,I5H59_gp69,SEA_MAHAVRAT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330877,70,I5H59_gp70,SEA_MAHAVRAT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330878,71,I5H59_gp71,SEA_MAHAVRAT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330879,72,I5H59_gp72,SEA_MAHAVRAT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330880,73,I5H59_gp73,SEA_MAHAVRAT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330881,74,I5H59_gp74,SEA_MAHAVRAT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330882,75,I5H59_gp75,SEA_MAHAVRAT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330883,76,I5H59_gp76,SEA_MAHAVRAT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330884,77,I5H59_gp77,SEA_MAHAVRAT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330885,78,I5H59_gp78,SEA_MAHAVRAT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330886,79,I5H59_gp79,SEA_MAHAVRAT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330887,80,I5H59_gp80,SEA_MAHAVRAT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330888,81,I5H59_gp81,SEA_MAHAVRAT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330889,82,I5H59_gp82,SEA_MAHAVRAT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330890,83,I5H59_gp83,SEA_MAHAVRAT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330891,84,I5H59_gp84,SEA_MAHAVRAT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330892,85,I5H59_gp85,SEA_MAHAVRAT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330893,86,I5H59_gp86,SEA_MAHAVRAT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330894,87,I5H59_gp87,SEA_MAHAVRAT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330895,88,I5H59_gp88,SEA_MAHAVRAT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330896,89,I5H59_gp89,SEA_MAHAVRAT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330897,90,I5H59_gp90,SEA_MAHAVRAT_90,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210129,-
2591129,60330898,91,I5H59_gp91,SEA_MAHAVRAT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330899,92,I5H59_gp92,SEA_MAHAVRAT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330900,93,I5H59_gp93,SEA_MAHAVRAT_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330901,94,I5H59_gp94,SEA_MAHAVRAT_94,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2591129,60330902,95,I5H59_gp95,SEA_MAHAVRAT_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330903,96,I5H59_gp96,SEA_MAHAVRAT_96,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2591129,60330904,97,I5H59_gp97,SEA_MAHAVRAT_97,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2591129,60330905,98,I5H59_gp98,SEA_MAHAVRAT_98,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2591129,60330906,99,I5H59_gp99,SEA_MAHAVRAT_99,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2591129,60330907,1,I5H59_gp01,SEA_MAHAVRAT_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2591129,60338771,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
