#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772093,65131855,KNV60_gp85,KNV60_gp85,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20210608,-
2772093,65131870,KNV60_gp12,KNV60_gp12,-,-,-,-,chaperonin,protein-coding,-,-,-,chaperonin,20210608,-
2772093,65131871,KNV60_gp13,KNV60_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131872,KNV60_gp14,KNV60_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131873,KNV60_gt01,KNV60_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772093,65131874,KNV60_gt02,KNV60_gt02,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772093,65131875,KNV60_gp83,KNV60_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131876,KNV60_gp82,KNV60_gp82,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210608,-
2772093,65131877,KNV60_gp81,KNV60_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131878,KNV60_gp80,KNV60_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131879,KNV60_gp79,KNV60_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131880,KNV60_gp78,KNV60_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131881,KNV60_gp77,KNV60_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131882,KNV60_gp76,KNV60_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131883,KNV60_gp75,KNV60_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131884,KNV60_gp74,KNV60_gp74,-,-,-,-,VOG2368,protein-coding,-,-,-,VOG2368|terminase,20210608,-
2772093,65131885,KNV60_gp73,KNV60_gp73,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2772093,65131886,KNV60_gp72,KNV60_gp72,-,-,-,-,putative endodeoxyribonuclease,protein-coding,-,-,-,putative endodeoxyribonuclease,20210608,-
2772093,65131887,KNV60_gp71,KNV60_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131888,KNV60_gp70,KNV60_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131889,KNV60_gp69,KNV60_gp69,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210608,-
2772093,65131890,KNV60_gp68,KNV60_gp68,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2772093,65131891,KNV60_gp67,KNV60_gp67,-,-,-,-,VOG10904,protein-coding,-,-,-,VOG10904,20210608,-
2772093,65131892,KNV60_gp66,KNV60_gp66,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2772093,65131893,KNV60_gp65,KNV60_gp65,-,-,-,-,RecA protein,protein-coding,-,-,-,RecA protein,20210608,-
2772093,65131894,KNV60_gp64,KNV60_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131895,KNV60_gp63,KNV60_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131896,KNV60_gp62,KNV60_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131897,KNV60_gp61,KNV60_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131898,KNV60_gp60,KNV60_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131899,KNV60_gp59,KNV60_gp59,-,-,-,-,putative transpeptidase,protein-coding,-,-,-,putative transpeptidase,20210608,-
2772093,65131900,KNV60_gp58,KNV60_gp58,-,-,-,-,VOG0641,protein-coding,-,-,-,VOG0641|holin,20210608,-
2772093,65131901,KNV60_gp57,KNV60_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131902,KNV60_gp56,KNV60_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131903,KNV60_gp55,KNV60_gp55,-,-,-,-,topoisomerase,protein-coding,-,-,-,topoisomerase,20210608,-
2772093,65131904,KNV60_gp54,KNV60_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131905,KNV60_gp53,KNV60_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131906,KNV60_gp52,KNV60_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131907,KNV60_gp51,KNV60_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131908,KNV60_gp50,KNV60_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131909,KNV60_gp49,KNV60_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131910,KNV60_gp48,KNV60_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131911,KNV60_gp47,KNV60_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131912,KNV60_gp46,KNV60_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131913,KNV60_gp45,KNV60_gp45,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2772093,65131914,KNV60_gp44,KNV60_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131915,KNV60_gp43,KNV60_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131916,KNV60_gp42,KNV60_gp42,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210608,-
2772093,65131917,KNV60_gt03,KNV60_gt03,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772093,65131918,KNV60_gp40,KNV60_gp40,-,-,-,-,RecA protein,protein-coding,-,-,-,RecA protein,20210608,-
2772093,65131919,KNV60_gp39,KNV60_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131920,KNV60_gp38,KNV60_gp38,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2772093,65131921,KNV60_gp37,KNV60_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131922,KNV60_gp36,KNV60_gp36,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2772093,65131923,KNV60_gp35,KNV60_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131924,KNV60_gp34,KNV60_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131925,KNV60_gp33,KNV60_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131926,KNV60_gp32,KNV60_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131927,KNV60_gp31,KNV60_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131928,KNV60_gp30,KNV60_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131929,KNV60_gp29,KNV60_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131930,KNV60_gp28,KNV60_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131931,KNV60_gp27,KNV60_gp27,-,-,-,-,RNA polymerase sigma-W factor,protein-coding,-,-,-,RNA polymerase sigma-W factor,20210608,-
2772093,65131932,KNV60_gp26,KNV60_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131933,KNV60_gp25,KNV60_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131934,KNV60_gs01,KNV60_gs01,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20210608,-
2772093,65131935,KNV60_gp23,KNV60_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131936,KNV60_gp22,KNV60_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131937,KNV60_gp21,KNV60_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131938,KNV60_gp20,KNV60_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131939,KNV60_gp19,KNV60_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131940,KNV60_gp18,KNV60_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131941,KNV60_gp17,KNV60_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131942,KNV60_gp16,KNV60_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65131943,KNV60_gt04,KNV60_gt04,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772093,65131944,KNV60_gt05,KNV60_gt05,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772093,65131945,KNV60_gp01,KNV60_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772093,65243578,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
