#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448273,19685194,HH33_gp02,HH33_gp02,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1448273,19685228,HH33_gp36,HH33_gp36,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685229,HH33_gp37,HH33_gp37,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20201221,-
1448273,19685230,HH33_gp38,HH33_gp38,-,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20201221,-
1448273,19685231,HH33_gp39,HH33_gp39,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685232,HH33_gp40,HH33_gp40,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685233,HH33_gp41,HH33_gp41,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685234,HH33_gp42,HH33_gp42,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685235,HH33_gp43,HH33_gp43,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685236,HH33_gp44,HH33_gp44,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685237,HH33_gp45,HH33_gp45,-,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20201221,-
1448273,19685238,HH33_gp46,HH33_gp46,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685239,HH33_gp47,HH33_gp47,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685240,HH33_gp48,HH33_gp48,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1448273,19685241,HH33_gp49,HH33_gp49,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685242,HH33_gp50,HH33_gp50,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685243,HH33_gp51,HH33_gp51,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685244,HH33_gp52,HH33_gp52,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685245,HH33_gp53,HH33_gp53,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685246,HH33_gp54,HH33_gp54,-,-,-,-,phage DNA binding protein,protein-coding,-,-,-,phage DNA binding protein,20200629,-
1448273,19685247,HH33_gp55,HH33_gp55,-,-,-,-,type II toxin-antitoxin system PemK/MazF family toxin,protein-coding,-,-,-,type II toxin-antitoxin system PemK/MazF family toxin,20201221,-
1448273,19685248,HH33_gp56,HH33_gp56,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448273,19685249,HH33_gp57,HH33_gp57,-,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20201221,-
1448273,19685250,HH33_gp01,HH33_gp01,-,-,-,-,pseudo,pseudo,-,-,-,-,20201221,-
1448273,19791144,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
